id,x,y,z,yaw,pitch,roll
1,-284.897,226.163,-12.5778,2.45042,0.0147471,0.038229
2,-285.125,226.368,-12.5838,2.4505,0.013865,0.0385888
3,-285.356,226.568,-12.5883,2.45095,0.0132579,0.0366462
4,-285.583,226.768,-12.5888,2.45143,0.0125655,0.0344668
5,-285.807,226.958,-12.5938,2.45257,0.0117382,0.0321278
6,-286.017,227.146,-12.6016,2.45285,0.0113291,0.0315763
7,-286.237,227.336,-12.6037,2.45238,0.0105802,0.0323626
8,-286.442,227.518,-12.6021,2.45285,0.00979183,0.0331303
9,-286.647,227.699,-12.6058,2.45373,0.00817906,0.0330129
10,-286.85,227.875,-12.6064,2.45347,0.00690547,0.0329372
11,-287.051,228.054,-12.5979,2.45371,0.00242829,0.0338524
12,-287.25,228.224,-12.6021,2.45379,-0.00198567,0.0347329
13,-287.441,228.398,-12.6145,2.45316,-0.00407365,0.0367041
14,-287.626,228.556,-12.6288,2.45294,-0.00324069,0.0377505
15,-287.809,228.71,-12.635,2.45327,-0.00146191,0.0381616
16,-287.986,228.86,-12.6332,2.4537,-0.000151859,0.0389773
17,-288.167,229.018,-12.6401,2.45401,-0.000376442,0.0400157
18,-288.343,229.166,-12.6555,2.45466,0.00224046,0.0405699
19,-288.513,229.308,-12.6597,2.4556,0.00565239,0.0402773
20,-288.675,229.453,-12.6573,2.45577,0.0070023,0.0378737
21,-288.838,229.592,-12.6588,2.45602,0.00679828,0.0364927
22,-288.993,229.73,-12.6605,2.45655,0.00636752,0.036015
23,-289.144,229.858,-12.6704,2.45634,0.00732211,0.0376268
24,-289.295,229.994,-12.6794,2.45623,0.0104109,0.0388628
25,-289.441,230.12,-12.6839,2.45678,0.013123,0.0400499
26,-289.592,230.242,-12.6838,2.45804,0.0148637,0.0425451
27,-289.731,230.368,-12.6855,2.45808,0.0151463,0.0439649
28,-289.872,230.484,-12.6805,2.45714,0.0144263,0.0436568
29,-290.013,230.618,-12.6773,2.45788,0.0122008,0.0434956
30,-290.146,230.739,-12.6833,2.45893,0.0102857,0.0429546
31,-290.276,230.852,-12.6807,2.4591,0.00919186,0.0417133
32,-290.41,230.972,-12.6682,2.46013,0.00662639,0.0397275
33,-290.535,231.087,-12.6728,2.45989,0.00251652,0.0400534
34,-290.675,231.194,-12.6745,2.45942,-0.000546368,0.0407949
35,-290.803,231.312,-12.6418,2.45876,-0.00721952,0.0397125
36,-290.921,231.417,-12.6385,2.45841,-0.0143774,0.0400462
37,-291.056,231.529,-12.6826,2.45827,-0.0146675,0.0392134
38,-291.187,231.634,-12.728,2.45895,-0.00873777,0.0414381
39,-291.308,231.727,-12.7544,2.45914,0.000185202,0.0421994
40,-291.416,231.825,-12.7306,2.46047,0.00541478,0.0429749
41,-291.536,231.94,-12.7178,2.45963,0.00259042,0.0442536
42,-291.668,232.054,-12.7242,2.45881,-0.000435631,0.0480909
43,-291.801,232.162,-12.7373,2.45787,-0.000108606,0.0527635
44,-291.932,232.269,-12.7404,2.45757,0.00233941,0.0558902
45,-292.051,232.371,-12.7427,2.4582,0.00459881,0.054481
46,-292.161,232.474,-12.7408,2.45849,0.0071314,0.051395
47,-292.277,232.578,-12.742,2.45938,0.00756199,0.0467591
48,-292.397,232.686,-12.7384,2.46013,0.00578093,0.0454913
49,-292.511,232.788,-12.7444,2.45916,0.00457298,0.0470408
50,-292.619,232.872,-12.7535,2.4588,0.00576683,0.0492207
51,-292.753,232.981,-12.7607,2.45963,0.00765626,0.0521176
52,-292.869,233.076,-12.7629,2.45929,0.00777169,0.0521167
53,-292.992,233.184,-12.7675,2.45797,0.00845184,0.0509904
54,-293.113,233.286,-12.7749,2.45934,0.0117897,0.0509123
55,-293.234,233.392,-12.7671,2.46056,0.0132482,0.0507421
56,-293.36,233.511,-12.7442,2.45932,0.0097278,0.0477407
57,-293.497,233.632,-12.7547,2.45924,0.00116242,0.0454461
58,-293.631,233.753,-12.7771,2.45939,-0.000954396,0.0445074
59,-293.765,233.859,-12.7814,2.46187,-0.000181738,0.0459761
60,-293.901,233.965,-12.7759,2.4631,-0.00119925,0.0496812
61,-294.026,234.083,-12.7689,2.46301,-0.00352325,0.0507299
